Trace Path1,
X(in), Y(in)
640.869283,567.8898876
640.3489332,568.2430524
640.1895528,568.3495692
639.4727388,568.8143993
638.7162228,569.2775667
637.9141446,569.7290354
637.2762567,570.0784368
637.0794975,570.185395
636.2025758,570.6341406
635.2913811,571.0886294
634.3373974,571.5302149
633.5811356,571.861279
